iter	Passed	Remaining
0	6	6824
1	12	6111
2	17	5932
3	23	5754
4	28	5647
5	33	5622
6	39	5535
7	44	5491
8	49	5462
9	55	5471
10	60	5463
11	66	5463
12	71	5439
13	77	5430
14	82	5433
15	87	5408
16	93	5396
17	98	5386
18	103	5365
19	109	5372
20	115	5374
21	120	5374
22	126	5357
23	131	5346
24	136	5331
25	142	5331
26	148	5335
27	153	5329
28	159	5326
29	163	5300
30	168	5281
31	174	5272
32	179	5256
33	184	5254
34	190	5257
35	196	5251
36	201	5243
37	206	5227
38	212	5224
39	217	5224
40	222	5207
41	227	5195
42	233	5191
43	238	5179
44	243	5175
45	249	5169
46	254	5167
47	260	5165
48	266	5164
49	271	5155
50	276	5143
51	281	5136
52	287	5134
53	292	5131
54	298	5127
55	303	5120
56	309	5116
57	314	5110
58	319	5097
59	325	5093
60	330	5087
61	335	5079
62	341	5075
63	346	5070
64	352	5065
65	357	5060
66	362	5048
67	368	5044
68	373	5040
69	378	5034
70	384	5030
71	389	5022
72	395	5016
73	400	5010
74	405	5005
75	411	5001
76	416	4996
77	421	4986
78	427	4981
79	432	4977
80	438	4973
81	443	4969
82	449	4962
83	454	4958
84	459	4950
85	465	4944
86	470	4940
87	475	4931
88	480	4922
89	486	4915
90	491	4908
91	496	4898
92	501	4889
93	507	4887
94	512	4885
95	518	4879
96	523	4875
97	529	4869
98	534	4866
99	540	4862
100	545	4854
101	550	4849
102	555	4841
103	561	4836
104	566	4830
105	572	4828
106	577	4821
107	583	4817
108	588	4811
109	593	4805
110	599	4798
111	604	4794
112	609	4787
113	614	4779
114	620	4775
115	626	4770
116	631	4766
117	637	4762
118	642	4760
119	648	4754
120	653	4749
121	659	4746
122	664	4741
123	670	4736
124	676	4732
125	681	4728
126	687	4723
127	692	4719
128	698	4715
129	703	4708
130	709	4703
131	714	4697
132	720	4694
133	726	4693
134	732	4691
135	737	4687
136	743	4682
137	748	4675
138	753	4667
139	758	4661
140	763	4653
141	769	4647
142	774	4638
143	779	4632
144	784	4624
145	789	4618
146	794	4610
147	799	4603
148	805	4597
149	810	4591
150	815	4585
151	820	4578
152	826	4575
153	831	4567
154	836	4560
155	841	4551
156	846	4543
157	850	4534
158	855	4526
159	861	4520
160	865	4511
161	870	4504
162	875	4495
163	880	4489
164	885	4482
165	890	4475
166	895	4468
167	901	4462
168	906	4456
169	911	4450
170	916	4443
171	922	4439
172	927	4433
173	933	4430
174	938	4425
175	944	4419
176	949	4413
177	954	4407
178	959	4400
179	964	4395
180	969	4387
181	974	4378
182	979	4371
183	984	4366
184	989	4359
185	994	4352
186	999	4345
187	1004	4337
188	1009	4330
189	1013	4322
190	1019	4316
191	1024	4311
192	1029	4306
193	1035	4300
194	1040	4295
195	1045	4288
196	1050	4283
197	1056	4277
198	1061	4271
199	1066	4264
200	1071	4257
201	1076	4251
202	1081	4245
203	1086	4239
204	1091	4233
205	1096	4227
206	1102	4222
207	1107	4216
208	1112	4209
209	1117	4203
210	1122	4197
211	1127	4190
212	1132	4184
213	1137	4178
214	1142	4173
215	1148	4168
216	1154	4164
217	1159	4158
218	1164	4152
219	1169	4147
220	1174	4141
221	1179	4135
222	1185	4129
223	1190	4123
224	1195	4116
225	1200	4110
226	1204	4102
227	1209	4096
228	1214	4090
229	1219	4083
230	1225	4078
231	1230	4071
232	1235	4067
233	1240	4061
234	1245	4055
235	1250	4049
236	1256	4043
237	1260	4036
238	1266	4032
239	1271	4026
240	1276	4019
241	1281	4013
242	1286	4007
243	1291	4001
244	1296	3994
245	1301	3989
246	1307	3985
247	1312	3978
248	1317	3974
249	1322	3967
250	1327	3961
251	1332	3956
252	1338	3950
253	1343	3944
254	1348	3938
255	1353	3932
256	1358	3926
257	1363	3921
258	1368	3915
259	1373	3909
260	1378	3903
261	1383	3897
262	1389	3892
263	1394	3886
264	1399	3880
265	1404	3875
266	1409	3870
267	1415	3864
268	1420	3858
269	1424	3852
270	1430	3847
271	1435	3841
272	1440	3835
273	1445	3830
274	1450	3824
275	1455	3818
276	1460	3813
277	1465	3806
278	1470	3801
279	1475	3794
280	1480	3789
281	1486	3783
282	1491	3778
283	1496	3772
284	1501	3767
285	1507	3762
286	1512	3757
287	1517	3751
288	1522	3746
289	1528	3741
290	1533	3735
291	1538	3730
292	1543	3725
293	1549	3720
294	1554	3714
295	1559	3709
296	1564	3703
297	1569	3697
298	1574	3691
299	1580	3687
300	1585	3680
301	1590	3675
302	1595	3669
303	1600	3663
304	1605	3658
305	1610	3652
306	1615	3646
307	1620	3640
308	1625	3634
309	1630	3628
310	1635	3622
311	1640	3617
312	1645	3612
313	1650	3606
314	1656	3601
315	1661	3596
316	1666	3590
317	1671	3584
318	1676	3579
319	1681	3573
320	1687	3568
321	1692	3563
322	1697	3557
323	1702	3552
324	1707	3547
325	1713	3542
326	1718	3536
327	1723	3531
328	1728	3525
329	1733	3520
330	1738	3514
331	1744	3509
332	1749	3503
333	1754	3498
334	1759	3493
335	1764	3487
336	1769	3482
337	1775	3477
338	1780	3471
339	1785	3465
340	1790	3459
341	1795	3454
342	1800	3448
343	1805	3442
344	1810	3437
345	1815	3431
346	1820	3425
347	1825	3420
348	1830	3414
349	1835	3408
350	1840	3403
351	1846	3398
352	1851	3393
353	1856	3388
354	1861	3382
355	1867	3377
356	1871	3371
357	1876	3365
358	1881	3359
359	1886	3353
360	1891	3347
361	1896	3342
362	1901	3336
363	1906	3330
364	1910	3324
365	1915	3318
366	1920	3312
367	1925	3307
368	1931	3302
369	1936	3296
370	1941	3291
371	1946	3285
372	1951	3279
373	1955	3273
374	1961	3268
375	1966	3263
376	1971	3257
377	1975	3251
378	1980	3245
379	1985	3239
380	1990	3233
381	1995	3228
382	2000	3222
383	2005	3216
384	2009	3210
385	2014	3205
386	2019	3199
387	2024	3193
388	2029	3188
389	2034	3182
390	2039	3176
391	2044	3171
392	2050	3166
393	2054	3160
394	2059	3155
395	2079	3171
396	2084	3166
397	2089	3161
398	2094	3155
399	2100	3150
400	2105	3144
401	2110	3139
402	2115	3133
403	2120	3127
404	2125	3122
405	2130	3116
406	2135	3111
407	2140	3106
408	2146	3101
409	2151	3096
410	2156	3090
411	2162	3085
412	2166	3079
413	2171	3074
414	2176	3067
415	2181	3062
416	2186	3056
417	2191	3051
418	2196	3045
419	2201	3039
420	2205	3033
421	2211	3028
422	2216	3023
423	2221	3017
424	2226	3012
425	2231	3007
426	2237	3001
427	2242	2996
428	2247	2991
429	2252	2985
430	2257	2980
431	2262	2974
432	2267	2969
433	2272	2963
434	2277	2958
435	2282	2953
436	2288	2948
437	2293	2942
438	2300	2940
439	2308	2937
440	2314	2934
441	2321	2930
442	2328	2927
443	2333	2922
444	2339	2917
445	2345	2913
446	2350	2908
447	2356	2904
448	2362	2898
449	2367	2893
450	2372	2888
451	2377	2883
452	2382	2877
453	2387	2871
454	2392	2866
455	2397	2860
456	2402	2855
457	2408	2849
458	2413	2844
459	2418	2838
460	2423	2833
461	2428	2828
462	2433	2822
463	2438	2817
464	2443	2811
465	2448	2806
466	2453	2800
467	2458	2794
468	2463	2789
469	2468	2783
470	2474	2778
471	2479	2773
472	2484	2768
473	2489	2762
474	2494	2756
475	2499	2751
476	2504	2745
477	2509	2740
478	2514	2734
479	2519	2729
480	2524	2723
481	2529	2718
482	2534	2712
483	2539	2707
484	2544	2701
485	2549	2696
486	2554	2690
487	2559	2685
488	2563	2679
489	2568	2673
490	2573	2667
491	2578	2661
492	2583	2656
493	2587	2650
494	2593	2645
495	2598	2639
496	2603	2634
497	2607	2628
498	2612	2623
499	2617	2617
500	2622	2612
501	2627	2606
502	2632	2601
503	2637	2595
504	2642	2590
505	2647	2584
506	2652	2579
507	2657	2573
508	2662	2568
509	2667	2562
510	2672	2557
511	2677	2551
512	2682	2546
513	2687	2540
514	2692	2535
515	2697	2530
516	2702	2524
517	2707	2519
518	2712	2513
519	2717	2508
520	2723	2503
521	2728	2498
522	2733	2492
523	2738	2487
524	2743	2482
525	2748	2476
526	2753	2471
527	2757	2465
528	2762	2459
529	2768	2454
530	2772	2449
531	2778	2443
532	2782	2438
533	2787	2432
534	2792	2427
535	2797	2421
536	2803	2416
537	2807	2411
538	2813	2406
539	2818	2400
540	2822	2395
541	2827	2389
542	2832	2384
543	2837	2378
544	2842	2373
545	2847	2367
546	2852	2362
547	2856	2356
548	2861	2350
549	2866	2345
550	2871	2340
551	2876	2334
552	2881	2329
553	2886	2324
554	2892	2318
555	2897	2313
556	2902	2308
557	2907	2303
558	2912	2297
559	2917	2292
560	2922	2286
561	2927	2281
562	2932	2275
563	2937	2270
564	2942	2265
565	2947	2260
566	2952	2254
567	2957	2249
568	2962	2244
569	2967	2238
570	2972	2233
571	2977	2228
572	2982	2222
573	2987	2217
574	2992	2212
575	2997	2206
576	3002	2201
577	3007	2195
578	3011	2189
579	3016	2184
580	3021	2179
581	3026	2173
582	3030	2167
583	3035	2162
584	3040	2157
585	3045	2151
586	3050	2146
587	3055	2140
588	3060	2135
589	3065	2130
590	3069	2124
591	3074	2119
592	3079	2113
593	3084	2108
594	3088	2102
595	3093	2097
596	3098	2091
597	3103	2086
598	3108	2081
599	3113	2075
600	3118	2070
601	3123	2065
602	3128	2059
603	3133	2054
604	3138	2049
605	3144	2044
606	3149	2038
607	3154	2033
608	3159	2028
609	3164	2023
610	3170	2018
611	3175	2013
612	3180	2007
613	3185	2002
614	3190	1997
615	3195	1992
616	3200	1986
617	3205	1981
618	3210	1976
619	3215	1971
620	3221	1965
621	3226	1960
622	3231	1955
623	3236	1950
624	3241	1944
625	3246	1939
626	3251	1934
627	3256	1929
628	3262	1924
629	3267	1918
630	3272	1913
631	3277	1908
632	3282	1903
633	3287	1897
634	3293	1892
635	3298	1887
636	3303	1882
637	3309	1877
638	3314	1872
639	3319	1867
640	3324	1862
641	3329	1856
642	3334	1851
643	3340	1846
644	3345	1841
645	3350	1836
646	3355	1830
647	3360	1825
648	3365	1820
649	3371	1815
650	3375	1809
651	3380	1804
652	3385	1798
653	3390	1793
654	3395	1788
655	3400	1783
656	3405	1777
657	3410	1772
658	3415	1767
659	3420	1762
660	3425	1756
661	3430	1751
662	3435	1746
663	3440	1740
664	3444	1735
665	3450	1730
666	3454	1724
667	3459	1719
668	3464	1714
669	3470	1709
670	3475	1704
671	3480	1698
672	3485	1693
673	3490	1688
674	3496	1683
675	3500	1677
676	3506	1672
677	3511	1667
678	3516	1662
679	3521	1657
680	3526	1651
681	3531	1646
682	3535	1641
683	3540	1635
684	3545	1630
685	3550	1625
686	3555	1619
687	3560	1614
688	3565	1609
689	3570	1603
690	3574	1598
691	3579	1593
692	3584	1587
693	3589	1582
694	3594	1577
695	3599	1572
696	3603	1566
697	3608	1561
698	3613	1556
699	3618	1550
700	3623	1545
701	3628	1540
702	3634	1535
703	3638	1530
704	3643	1524
705	3648	1519
706	3653	1514
707	3658	1509
708	3663	1503
709	3668	1498
710	3673	1493
711	3678	1487
712	3683	1482
713	3688	1477
714	3693	1472
715	3698	1466
716	3703	1461
717	3708	1456
718	3713	1451
719	3718	1446
720	3723	1440
721	3728	1435
722	3733	1430
723	3738	1425
724	3744	1420
725	3749	1414
726	3754	1409
727	3758	1404
728	3763	1399
729	3768	1393
730	3773	1388
731	3778	1383
732	3784	1378
733	3789	1373
734	3794	1368
735	3799	1362
736	3804	1357
737	3810	1352
738	3815	1347
739	3820	1342
740	3825	1337
741	3830	1331
742	3835	1326
743	3840	1321
744	3845	1316
745	3850	1311
746	3856	1305
747	3861	1300
748	3866	1295
749	3871	1290
750	3876	1285
751	3881	1279
752	3886	1274
753	3891	1269
754	3896	1264
755	3901	1259
756	3906	1254
757	3911	1248
758	3917	1243
759	3922	1238
760	3927	1233
761	3932	1228
762	3937	1223
763	3942	1217
764	3947	1212
765	3953	1207
766	3958	1202
767	3963	1197
768	3968	1192
769	3973	1186
770	3978	1181
771	3983	1176
772	3989	1171
773	3994	1166
774	4000	1161
775	4005	1156
776	4010	1151
777	4015	1145
778	4021	1140
779	4026	1135
780	4031	1130
781	4036	1125
782	4041	1120
783	4046	1114
784	4051	1109
785	4057	1104
786	4062	1099
787	4067	1094
788	4072	1089
789	4077	1083
790	4082	1078
791	4088	1073
792	4092	1068
793	4097	1063
794	4102	1057
795	4108	1052
796	4113	1047
797	4118	1042
798	4123	1037
799	4128	1032
800	4133	1026
801	4139	1021
802	4144	1016
803	4149	1011
804	4154	1006
805	4159	1001
806	4164	996
807	4169	990
808	4175	985
809	4180	980
810	4185	975
811	4190	970
812	4195	965
813	4200	959
814	4205	954
815	4211	949
816	4216	944
817	4221	939
818	4226	934
819	4231	928
820	4236	923
821	4241	918
822	4246	913
823	4252	908
824	4257	903
825	4262	897
826	4267	892
827	4272	887
828	4277	882
829	4282	877
830	4287	871
831	4292	866
832	4297	861
833	4302	856
834	4307	851
835	4312	846
836	4317	840
837	4322	835
838	4327	830
839	4332	825
840	4337	820
841	4343	815
842	4348	809
843	4353	804
844	4358	799
845	4363	794
846	4369	789
847	4374	784
848	4379	778
849	4384	773
850	4389	768
851	4394	763
852	4399	758
853	4404	753
854	4409	747
855	4415	742
856	4420	737
857	4425	732
858	4430	727
859	4435	722
860	4440	716
861	4444	711
862	4450	706
863	4454	701
864	4459	696
865	4464	690
866	4469	685
867	4474	680
868	4479	675
869	4484	670
870	4488	664
871	4493	659
872	4498	654
873	4502	649
874	4507	643
875	4512	638
876	4517	633
877	4522	628
878	4527	623
879	4532	618
880	4537	612
881	4542	607
882	4547	602
883	4552	597
884	4557	592
885	4562	587
886	4567	581
887	4572	576
888	4577	571
889	4582	566
890	4587	561
891	4592	556
892	4597	550
893	4602	545
894	4607	540
895	4611	535
896	4616	530
897	4622	525
898	4627	519
899	4632	514
900	4638	509
901	4643	504
902	4648	499
903	4653	494
904	4658	489
905	4664	483
906	4669	478
907	4674	473
908	4679	468
909	4684	463
910	4689	458
911	4695	453
912	4700	447
913	4705	442
914	4711	437
915	4716	432
916	4721	427
917	4726	422
918	4731	417
919	4736	411
920	4741	406
921	4747	401
922	4752	396
923	4757	391
924	4762	386
925	4768	381
926	4773	375
927	4778	370
928	4783	365
929	4788	360
930	4793	355
931	4798	350
932	4803	344
933	4808	339
934	4813	334
935	4818	329
936	4823	324
937	4828	319
938	4833	314
939	4838	308
940	4843	303
941	4848	298
942	4853	293
943	4858	288
944	4863	283
945	4868	277
946	4873	272
947	4878	267
948	4883	262
949	4889	257
950	4894	252
951	4899	247
952	4904	241
953	4909	236
954	4914	231
955	4919	226
956	4924	221
957	4930	216
958	4935	211
959	4940	205
960	4945	200
961	4950	195
962	4955	190
963	4960	185
964	4965	180
965	4970	174
966	4975	169
967	4981	164
968	4986	159
969	4991	154
970	4996	149
971	5001	144
972	5005	138
973	5010	133
974	5015	128
975	5020	123
976	5026	118
977	5031	113
978	5035	108
979	5040	102
980	5045	97
981	5050	92
982	5055	87
983	5060	82
984	5065	77
985	5070	71
986	5075	66
987	5080	61
988	5084	56
989	5089	51
990	5094	46
991	5099	41
992	5104	35
993	5109	30
994	5114	25
995	5119	20
996	5124	15
997	5128	10
998	5133	5
999	5138	0
